Time,X,Y,Angle
0.0,0.0,-0.0,-3.1394242011587443
0.01,-0.0029202518501068504,-6.369976178669689e-06,-3.13939854340191
0.02,-0.00583735731515527,-1.2807383305706163e-05,-3.1393732440422837
0.03,-0.00875131804710818,-1.9310989345750303e-05,-3.1393483041369312
0.04,-0.011662135698024868,-2.5879563400900034e-05,-3.1393237247465002
0.05,-0.014569811920060731,-3.251187571038109e-05,-3.1392995069352345
0.06,-0.01747434836546704,-3.920669765021778e-05,-3.1392756517709905
0.07,-0.020375746686590684,-4.596280173290376e-05,-3.1392521603252495
0.08,-0.02327400853587383,-5.277896160707276e-05,-3.139229033673133
0.09,-0.02616913556585379,-5.9653952057169415e-05,-3.139206272893419
0.1,-0.029061129429162707,-6.658654900312003e-05,-3.1391838790685562
0.11,-0.03194999177852725,-7.357552950000318e-05,-3.1391618532846786
0.12,-0.03483572426676844,-8.061967173772078e-05,-3.1391401966316193
0.13,-0.03771832854680136,-8.77177550406685e-05,-3.1391189102029293
0.14,-0.040597806271634826,-9.486855986740686e-05,-3.1390979950958897
0.15,-0.04347415909437125,-0.00010207086781033175,-3.139077452411527
0.16,-0.04634738866820636,-0.0001093234615953453,-3.13905728325463
0.17,-0.04921749664642882,-0.0001166251250815267,-3.1390374887337646
0.18,-0.05208448468242013,-0.00012397464326080275,-3.1390180699612893
0.19,-0.054948354429654254,-0.00013137080225761894,-3.1389990280533695
0.2,-0.05780910754169746,-0.00013881238932860986,-3.1389803641299956
0.21,-0.06066674567220797,-0.00014629819286227043,-3.1389620793149966
0.22,-0.06352127047493575,-0.00015382700237862607,-3.1389441747360567
0.23,-0.06637268360372223,-0.00016139760852890397,-3.138926651524732
0.24,-0.06922098671250011,-0.00016900880309520354,-3.1389095108164646
0.25,-0.07206618145529305,-0.00017665937899016764,-3.1388927537506
0.26,-0.07490826948621537,-0.0001843481302566527,-3.1388763814704026
0.27,-0.07774725245947184,-0.00019207385206739956,-3.138860395123073
0.28,-0.08058313202935749,-0.00019983534072470497,-3.138844795859762
0.29,-0.08341590985025718,-0.00020763139366009173,-3.138829584835589
0.3,-0.08624558757664554,-0.0002154608094339793,-3.1388147632096577
0.31,-0.08907216686308667,-0.0002233223877353553,-3.1388003321450717
0.32,-0.09227396179570509,-0.00023227538126882217,-3.1387844403816287
0.33,-0.09928306436534332,-0.00025204442372862547,-3.138751355189851
0.34,-0.10627304139425359,-0.00027197825195972525,-3.1387207203544514
0.35000000000000003,-0.11324391835937445,-0.0002920585003434641,-3.1386925541769823
0.36,-0.1201957207409883,-0.00031226684637206484,-3.138666875117414
0.37,-0.127128474022697,-0.00033258501061727186,-3.1386437017957833
0.38,-0.13404220369139716,-0.0003529947566989914,-3.1386230529938564
0.39,-0.14093693523725553,-0.00037347789125393197,-3.138604947656813
0.4,-0.14781269415368478,-0.0003940162639042458,-3.138589404894952
0.41000000000000003,-0.15466950593731865,-0.00041459176722616955,-3.138576443985415
0.42,-0.16150739608798753,-0.00043518633671866446,-3.138566084373934
0.43,-0.1683263901086943,-0.00045578195077205776,-3.1385583456765946
0.44,-0.1751265135055888,-0.0004763606306366829,-3.138553247681627
0.45,-0.18251025680239819,-0.0004987300716644212,-3.138550723064033
0.46,-0.19156013299037225,-0.0005261490363114641,-3.1385519828071993
0.47000000000000003,-0.20057632163587424,-0.0005534276758148306,-3.1385581027190197
0.48,-0.20955888403556933,-0.0005805232797466482,-3.138569132286652
0.49,-0.2185078814957924,-0.0006073932749621368,-3.1385851215855296
0.5,-0.22742337533244233,-0.0006339952254645201,-3.138606121287736
0.51,-0.23630542687087544,-0.0006602868322699351,-3.13863218267051
0.52,-0.24515409744580105,-0.0006862259332723476,-3.138663357624891
0.53,-0.2539694484011748,-0.0007117705031084606,-3.1386996986645057
