Time,X,Y,Angle
0.0,0.0,-0.0,-3.140238394078769
0.01,-0.0021122632841886506,-2.7846334496724346e-06,-3.140309565597901
0.02,-0.004225018179908372,-5.424314939108213e-06,-3.1403763468503123
0.03,-0.006338260695069538,-7.92835742146057e-06,-3.1404387464828223
0.04,-0.00845198684360835,-1.0306050049285635e-05,-3.140496773130233
0.05,-0.010566192645484949,-1.2566658196360492e-05,-3.1405504354152964
0.06,-0.012680874126681426,-1.4719423479501199e-05,-3.1405997419486913
0.07,-0.014796027319199953,-1.6773563780380816e-05,-3.140644701328998
0.08,-0.016911648261060834,-1.8738273267347504e-05,-3.140685322142678
0.09,-0.019027732996300548,-2.0622722417242438e-05,-3.140721612964056
0.1,-0.021144277574969905,-2.2436058037218003e-05,-3.140753582355307
0.11,-0.023261278053132002,-2.4187403286555688e-05,-3.1407812388664422
0.12,-0.02537873049286038,-2.5885857698484183e-05,-3.1408045910352995
0.13,-0.0274966309622371,-2.754049720199747e-05,-3.140823647387538
0.14,-0.02961497553535074,-2.9160374143672748e-05,-3.1408384164366336
0.15,-0.03173376029229457,-3.0754517309488564e-05,-3.140848906683876
0.16,-0.03385298131916451,-3.233193194664278e-05,-3.140855126618373
0.17,-0.035972634708057304,-3.3901599785370675e-05,-3.140857084717051
0.18,-0.038092716557068564,-3.5472479060762944e-05,-3.140854789444663
0.19,-0.04021322297029077,-3.7053504534583694e-05,-3.1408482492537972
0.2,-0.042334150057811486,-3.865358751708861e-05,-3.140837472584887
0.21,-0.04445549393571126,-4.0281615888842824e-05,-3.140822467866226
0.22,-0.046577250726061885,-4.194645412253915e-05,-3.1408032435139837
0.23,-0.04869941655692428,-4.3656943304815834e-05,-3.140779807932223
0.24,-0.052231109489884686,-4.662781753375621e-05,-3.1407315073269566
0.25,-0.05733819305130106,-5.127087271396001e-05,-3.1406412026330677
0.26,-0.06244752957136201,-5.643505424318e-05,-3.140526785058617
0.27,-0.06755906575152612,-6.224115449957477e-05,-3.1403883703803905
0.28,-0.07267274849307989,-6.880918964711253e-05,-3.1402260739784196
0.29,-0.0777885248969823,-7.625840139108874e-05,-3.1400400108392374
0.3,-0.08290634226371006,-8.470725873364386e-05,-3.139830295559523
0.31,-0.08802614809310234,-9.4273459729281e-05,-3.139597042350118
0.32,-0.09314789008420568,-0.00010507393324038376,-3.1393403650403995
0.33,-0.09827151613511902,-0.00011722484069273415,-3.139060377083002
0.34,-0.10445768296391993,-0.00013385251601931864,-3.1386915748258994
0.35000000000000003,-0.11112382330934131,-0.00015438205711715695,-3.1382567573877496
0.36,-0.11779284153308621,-0.00017787192973906042,-3.1377832133159083
0.37,-0.12446462520323749,-0.00020456953123050946,-3.13727118816123
0.38,-0.1311390624537927,-0.00023472009627760435,-3.136720926494711
0.39,-0.13781604198408845,-0.0002685667034247989,-3.1361326719327045
0.4,-0.14449545305822456,-0.00030635028159263527,-3.1355066671633436
0.41000000000000003,-0.15137962292640808,-0.0003496483107675679,-3.1348224721373543
0.42,-0.15929491816505637,-0.000405223974005064,-3.133987245869355
0.43,-0.16721312933787663,-0.0004673859693623908,-3.133100168800607
0.44,-0.17513407659016134,-0.000536519123061318,-3.1321616378363886
0.45,-0.18305758117163443,-0.0006130041035195086,-3.131172048372937
0.46,-0.1909834654351103,-0.0006972174365274226,-3.1301317943735993
0.47000000000000003,-0.1989115528351528,-0.0007895315204252239,-3.1290412684470135
0.48,-0.20770176991372652,-0.0009017685830909107,-3.1277742081671978
0.49,-0.2166965107473676,-0.0010278713218362721,-3.126415140101658
0.5,-0.22569335814239141,-0.0011659064015404096,-3.1249930572061864
0.51,-0.23469206158658923,-0.001316391118281504,-3.1235085247808865
0.52,-0.24369237237740826,-0.0014798360789388398,-3.1219621066263636
0.53,-0.2528896210003231,-0.0016607418022678117,-3.120318760117364
0.54,-0.2628444469700599,-0.0018729737066474088,-3.1184688467970765
0.55,-0.2728003014721429,-0.002102951538513635,-3.116545414363523
0.56,-0.2827568584643133,-0.00235132822453984,-3.1145492189900352
0.5700000000000001,-0.2927137945899082,-0.002618746914290055,-3.1124810159065426
0.58,-0.30279058029688555,-0.002909417378509653,-3.1103153892952946
0.59,-0.31362042645141985,-0.003245025632206698,-3.1079073813621827
0.6,-0.324449555515908,-0.0036054475366404455,-3.105416948817137
0.61,-0.3352775656495899,-0.0039914592269687695,-3.1028450622831416
0.62,-0.34610405874048744,-0.0044038234951072844,-3.1001926930624726
0.63,-0.3573171316050511,-0.004859577011553948,-3.097361291053244
0.64,-0.36895263384812077,-0.0053642403690314314,-3.0943334827927775
0.65,-0.38058497824170845,-0.005902011895842458,-3.0912161419612096
0.66,-0.39221368913108895,-0.006473771786542473,-3.088010484603283
0.67,-0.4039484021163155,-0.007086299092290373,-3.084686123455722
0.68,-0.4163345670964777,-0.007772607586612303,-3.08108082441717
0.6900000000000001,-0.42871497653808593,-0.008500488040959937,-3.077379453650797
0.7000000000000001,-0.4410890788395997,-0.00927092107876101,-3.073583506137006
0.71,-0.453513030772984,-0.01008870008905678,-3.0696764363177547
0.72,-0.46660039750569454,-0.010999261482840077,-3.065458198125453
0.73,-0.4796788419560206,-0.011960750664438082,-3.06113910685168
0.74,-0.4927477398866356,-0.012974226874935182,-3.0567209777178586
0.75,-0.5059721272741802,-0.014054601931901202,-3.052147720045129
0.76,-0.5197147241379413,-0.015237079824451537,-3.047287485370724
0.77,-0.5334446615844801,-0.016480649986901578,-3.0423236412537715
0.78,-0.5471612478124676,-0.017786423792726297,-3.0372583713071033
0.79,-0.5612590559095476,-0.01919594331463101,-3.031943373006386
0.8,-0.5756125225487512,-0.02070274694536006,-3.026420353171555
0.81,-0.5899490311525712,-0.022281501228446066,-3.0207933049637385
0.8200000000000001,-0.6043426344402754,-0.023942167835698074,-3.015034625278867
0.8300000000000001,-0.6192838990388216,-0.025747770505455486,-3.008943161872601
0.84,-0.6342041839321422,-0.0276355672301006,-3.002746881125387
0.85,-0.6491026711054684,-0.029606720021205478,-2.9964488354275005
0.86,-0.6644665612873405,-0.03173128150349051,-2.989840452750887
0.87,-0.6799353118588365,-0.03396630557950393,-2.9830729477525595
0.88,-0.6953777785142474,-0.03629534430122634,-2.97620540363419
0.89,-0.7111482748964045,-0.038776548630685886,-2.9690796818272007
0.9,-0.727130334306873,-0.041398798036487175,-2.9617454796052622
0.91,-0.7430812426445252,-0.044126001819653676,-2.9543152369251184
0.92,-0.7592997482597097,-0.04701365508262201,-2.946650449419232
0.93,-0.775759635866344,-0.05006455525480933,-2.938761601613353
0.9400000000000001,-0.7921831498344766,-0.05323150885113438,-2.9307831688787966
0.9500000000000001,-0.8086637810779832,-0.056534821961388676,-2.922673034328791
0.96,-0.8251819359507927,-0.05997369449904824,-2.914443529155131
0.97,-0.8416600912297565,-0.06353398966451183,-2.9061369399611174
0.98,-0.8579720586965367,-0.06718799717709756,-2.8978223203230775
0.99,-0.8741649147169522,-0.07094480118885954,-2.8894816767370592
1.0,-0.8903161573271536,-0.07482234583057355,-2.881079987973027
1.01,-0.9063208423386494,-0.07879500421680574,-2.8726768654512123
1.02,-0.9222249673820175,-0.08287298008708889,-2.8642535139612626
1.03,-0.9380859754948254,-0.08707100118360284,-2.855784060864936
1.04,-0.953826983008577,-0.09136842223167772,-2.8473141643269115
1.05,-0.9694807701884178,-0.09577329295845219,-2.838830980364383
1.06,-0.9850899789394854,-0.10029761143577708,-2.8303156793944133
1.07,-1.0006047531455537,-0.1049267884966934,-2.8217997121212015
1.08,-1.0160427169585289,-0.10966548758237549,-2.8132777501287958
1.09,-1.0314346539488093,-0.11452314202995775,-2.8047368482060437
1.1,-1.04675083536954,-0.11949032729027646,-2.7961974841009005
1.11,-1.0619979399696529,-0.12456882659854075,-2.78765994229446
1.12,-1.0771975994810918,-0.12976579593958687,-2.7791159489748525
